Italien
Entree, bruschetta, 7, 20
Plat, lasagne, 16, 12
Plat, pizza margherita, 15, 10
Dessert, tiramisu, 8, 15
Boisson, eau petillante, 3, 100
Boisson, espresso, 2.5, -1
Japonais
Entree, edamame, 5.5, 30
Plat, ramen shoyu, 12.9, 15
Plat, ramen tonkotsu, 13.9, 10
Dessert, mochi, 4.5, 8
Boisson, thé vert, 3, 40
Indien
Entree, Samosas, 5.0, 30
Plat, Poulet Tikka Masala, 14.5, 15
Plat, Curry de Legumes, 12.0, 10
Dessert, Gulab Jamun, 5.0, 20
Boisson, Lassi Mangue, 4.0, 50
Francais
Entree, Oeufs mayonnaise, 5.0, 25
Plat, Pot au feu, 15.0, 20
Plat, Boeuf Bourguignon, 16.5, 12
Dessert, Mousse au chocolat, 6.0, 30
Boisson, Verre de Vin Rouge, 5.0, -1
Boisson, Cafe, 2.0, -1
